Time,Amb pressure (PSI),Accel Ped. Pos. (%),Batterie volt. (V),Boost (PSI),Coolant (*C),Fuel mode,IAT (*C),Lambda bank 1 (AFR),Lambda target (AFR),LTFT - Faktor aus Lambdaregelungsadaption für Bank 1 (%),MAF (g/s),Oil pressure (PSI),Rail pressure mean (PSI),Rail pressure req. (PSI),RPM (rpm),STFT 1 (%),Throttle Pos. Req (*),Throttle Position (*),TMAP volt. (V),VANOS EX act. (*),VANOS EX req. (*),VANOS IN act. (*),VANOS IN req. (*),WGDC (%),MAF req. WGDC (g/s),MHD version 1.7 9E60B v1.54 Stage 1 93oct_98ron
47.705,14.45,0,14.87,0,38,0,8,14.68,14.71,7.04,5.28,57.99,1028.4,1018.2,720,0.1,5.6,5.6,1.94,4.6,4.6,-17.9,-18.4,32.2,5.65,0
47.795,14.45,0,14.91,0,38,0,8,14.66,14.71,7.05,5.31,58.2,1013.2,1018.2,720,0.1,5.7,5.7,1.94,4.7,4.6,-18.2,-18.4,32.2,5.63,0
47.874,14.45,0,14.91,0,38,0,8,14.66,14.71,7.05,5.33,58.32,1019.6,1018.2,718,0,5.7,5.7,1.94,4.6,4.6,-17.9,-18.4,32.2,5.63,0
47.947,14.45,0,14.91,0,38,0,8,14.66,14.71,7.05,5.33,58.38,1021.5,1018.2,714,0,5.7,5.7,1.94,4.6,4.6,-18.2,-18.4,32.2,5.65,0
48.025,14.45,0,14.91,0,38,0,8,14.66,14.71,7.07,5.36,58.32,1008.3,1018.2,718,0,5.7,5.7,1.94,4.6,4.6,-17.9,-18.4,32.2,5.64,0
48.095,14.45,0,14.91,0,38,0,8,14.65,14.71,7.06,5.33,58.29,1025.5,1018.2,721,0,5.6,5.7,1.94,4.6,4.6,-18.3,-17.6,32.2,5.6,0
48.206,14.45,0,14.87,0,38,0,8,14.64,14.71,7.06,5.33,58.23,1021.3,1018.2,722,-0.1,5.6,5.7,1.94,4.5,4.6,-18.3,-18.4,32.2,5.62,0
48.275,14.45,0,14.87,0,38,0,8,14.65,14.71,7.05,5.31,58.13,1010.5,1018.2,728,0,5.5,5.4,1.94,4.5,4.6,-18.4,-17.6,32,5.58,0
48.355,14.45,0,14.87,0,38,0,8,14.66,14.71,7.04,5.31,58.03,1022.1,1018.2,728,0.1,5.4,5.4,1.94,4.4,4.6,-18,-17.6,31.9,5.54,0
48.426,14.45,0,14.87,0,38,0,8,14.68,14.71,7.04,5.28,57.99,1020.3,1018.2,722,0.1,5.4,5.4,1.94,4.9,4.6,-18.2,-17.6,32.2,5.57,0
48.496,14.45,0,14.87,0,38,0,8,14.68,14.71,7.03,5.28,57.9,1023,1018.2,716,0.1,5.5,5.4,1.94,4.6,4.6,-18,-17.6,32.2,5.58,0
